2058.009020011197 better than None, saving model
#############################################
# epoch  -          0 | time(s) -    118.07 #
# T loss -    2195.83 | V loss -    2058.01 #
1667.2274544831155 better than 2058.009020011197, saving model
#############################################
# epoch  -          1 | time(s) -    116.26 #
# T loss -    1867.89 | V loss -    1667.23 #
#############################################
# epoch  -          2 | time(s) -    116.22 #
# T loss -    1684.14 | V loss -    1748.35 #
#############################################
# epoch  -          3 | time(s) -    116.10 #
# T loss -    1606.39 | V loss -    1714.13 #
#############################################
# epoch  -          4 | time(s) -    117.73 #
# T loss -    1574.63 | V loss -    1988.80 #
#############################################
# epoch  -          5 | time(s) -    117.43 #
# T loss -    1545.19 | V loss -    1723.23 #
1442.5217164839867 better than 1667.2274544831155, saving model
#############################################
# epoch  -          6 | time(s) -    117.61 #
# T loss -    1511.38 | V loss -    1442.52 #
1425.3179001600404 better than 1442.5217164839867, saving model
#############################################
# epoch  -          7 | time(s) -    116.30 #
# T loss -    1449.74 | V loss -    1425.32 #
1320.2538585295185 better than 1425.3179001600404, saving model
#############################################
# epoch  -          8 | time(s) -    117.89 #
# T loss -    1415.42 | V loss -    1320.25 #
#############################################
# epoch  -          9 | time(s) -    115.90 #
# T loss -    1395.41 | V loss -    1475.74 #
#############################################
# epoch  -         10 | time(s) -    117.50 #
# T loss -    1384.94 | V loss -    1444.27 #
#############################################
# epoch  -         11 | time(s) -    118.57 #
# T loss -    1363.98 | V loss -    1357.11 #
1242.252520769355 better than 1320.2538585295185, saving model
#############################################
# epoch  -         12 | time(s) -    118.71 #
# T loss -    1311.98 | V loss -    1242.25 #
1229.2223670555275 better than 1242.252520769355, saving model
#############################################
# epoch  -         13 | time(s) -    118.64 #
# T loss -    1310.64 | V loss -    1229.22 #
#############################################
# epoch  -         14 | time(s) -    116.87 #
# T loss -    1276.64 | V loss -    1235.94 #
1212.1703100012764 better than 1229.2223670555275, saving model
#############################################
# epoch  -         15 | time(s) -    118.54 #
# T loss -    1265.50 | V loss -    1212.17 #
#############################################
# epoch  -         16 | time(s) -    118.32 #
# T loss -    1237.64 | V loss -    1406.60 #
#############################################
# epoch  -         17 | time(s) -    118.48 #
# T loss -    1235.47 | V loss -    1455.00 #
1169.1736635183618 better than 1212.1703100012764, saving model
#############################################
# epoch  -         18 | time(s) -    117.08 #
# T loss -    1223.43 | V loss -    1169.17 #
#############################################
# epoch  -         19 | time(s) -    116.93 #
# T loss -    1202.22 | V loss -    1251.23 #
#############################################
# epoch  -         20 | time(s) -    117.15 #
# T loss -    1182.32 | V loss -    1471.52 #
1154.1943100598246 better than 1169.1736635183618, saving model
#############################################
# epoch  -         21 | time(s) -    117.81 #
# T loss -    1174.26 | V loss -    1154.19 #
#############################################
# epoch  -         22 | time(s) -    118.51 #
# T loss -    1164.55 | V loss -    1573.68 #
#############################################
# epoch  -         23 | time(s) -    118.66 #
# T loss -    1157.98 | V loss -    1318.52 #
#############################################
# epoch  -         24 | time(s) -    120.20 #
# T loss -    1145.93 | V loss -    1166.78 #
1150.5615995995254 better than 1154.1943100598246, saving model
#############################################
# epoch  -         25 | time(s) -    117.12 #
# T loss -    1131.02 | V loss -    1150.56 #
1148.5749403793466 better than 1150.5615995995254, saving model
#############################################
# epoch  -         26 | time(s) -    117.17 #
# T loss -    1114.58 | V loss -    1148.57 #
#############################################
# epoch  -         27 | time(s) -    116.82 #
# T loss -    1125.20 | V loss -    1219.82 #
#############################################
# epoch  -         28 | time(s) -    117.65 #
# T loss -    1110.29 | V loss -    1283.96 #
#############################################
# epoch  -         29 | time(s) -    117.07 #
# T loss -    1089.29 | V loss -    1370.22 #
#############################################
# epoch  -         30 | time(s) -    117.16 #
# T loss -    1088.50 | V loss -    1391.07 #
1125.7776912409313 better than 1148.5749403793466, saving model
#############################################
# epoch  -         31 | time(s) -    119.16 #
# T loss -    1086.68 | V loss -    1125.78 #
#############################################
# epoch  -         32 | time(s) -    116.95 #
# T loss -    1067.50 | V loss -    1211.87 #
#############################################
# epoch  -         33 | time(s) -    117.03 #
# T loss -    1063.35 | V loss -    1262.62 #
#############################################
# epoch  -         34 | time(s) -    117.21 #
# T loss -    1069.46 | V loss -    1339.81 #
#############################################
# epoch  -         35 | time(s) -    116.96 #
# T loss -    1058.74 | V loss -    1155.25 #
#############################################
# epoch  -         36 | time(s) -    118.36 #
# T loss -    1040.59 | V loss -    1168.44 #
#############################################
# epoch  -         37 | time(s) -    118.66 #
# T loss -    1050.96 | V loss -    1174.47 #
#############################################
# epoch  -         38 | time(s) -    117.17 #
# T loss -    1040.23 | V loss -    1186.40 #
#############################################
# epoch  -         39 | time(s) -    117.16 #
# T loss -    1014.03 | V loss -    1267.40 #
#############################################
# epoch  -         40 | time(s) -    117.01 #
# T loss -    1021.72 | V loss -    1174.15 #
#############################################
# epoch  -         41 | time(s) -    118.64 #
# T loss -    1019.09 | V loss -    1209.13 #
#############################################
# epoch  -         42 | time(s) -    118.65 #
# T loss -    1001.28 | V loss -    1160.46 #
#############################################
# epoch  -         43 | time(s) -    117.11 #
# T loss -     999.40 | V loss -    1136.71 #
#############################################
# epoch  -         44 | time(s) -    117.00 #
# T loss -     983.35 | V loss -    1310.58 #
#############################################
# epoch  -         45 | time(s) -    118.53 #
# T loss -     982.79 | V loss -    1182.44 #
#############################################
# epoch  -         46 | time(s) -    118.72 #
# T loss -     969.74 | V loss -    1330.05 #
#############################################
# epoch  -         47 | time(s) -    116.97 #
# T loss -     969.02 | V loss -    1139.32 #
#############################################
# epoch  -         48 | time(s) -    117.06 #
# T loss -     955.70 | V loss -    1149.80 #
#############################################
# epoch  -         49 | time(s) -    118.31 #
# T loss -     955.04 | V loss -    1306.72 #
#############################################
